Directory,Lines,SLOC,CLOC,Funcs,Classes,Files
common/src/main/scala/de/htwg/zeta/common/cluster,170,123,8,11,6,3
common/src/main/scala/de/htwg/zeta/common/format/entity,623,500,15,36,18,12
common/src/main/scala/de/htwg/zeta/common/format/metaModel,571,501,1,28,10,10
common/src/main/scala/de/htwg/zeta/common/format/model,227,205,0,7,3,3
common/src/main/scala/de/htwg/zeta/common/models/document,33,13,9,1,7,2
common/src/main/scala/de/htwg/zeta/common/models/entity,414,257,63,11,23,15
common/src/main/scala/de/htwg/zeta/common/models/frontend,797,554,66,51,51,5
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel,132,79,30,3,5,2
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/elements,420,229,88,11,24,6
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/model,88,55,16,1,4,2
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/model/elements,99,58,18,2,4,2
common/src/main/scala/de/htwg/zeta/common/models/remote,177,125,26,12,2,2
common/src/main/scala/de/htwg/zeta/common/models/worker,246,163,26,20,10,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl,44,14,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/common,39,30,0,2,2,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer,620,497,46,55,17,4
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager,565,457,16,36,20,9
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/frontend,271,199,15,21,15,4
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/frontendManager,82,56,8,5,7,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/image,28,20,0,2,2,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/master,365,259,51,27,17,2
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/worker,505,407,22,29,22,4
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/start,342,244,26,14,14,6
images/filter/src/main/scala/de/htwg/zeta/filter,146,114,3,6,2,2
images/metamodel/release/src/main/scala,77,57,7,0,2,1
persistence/src/main/scala/de/htwg/zeta/persistence,270,234,10,21,1,1
persistence/src/main/scala/de/htwg/zeta/persistence/accessRestricted,171,129,12,14,5,2
persistence/src/main/scala/de/htwg/zeta/persistence/actorCache,1058,778,96,66,47,8
persistence/src/main/scala/de/htwg/zeta/persistence/authInfo,63,48,0,4,4,2
persistence/src/main/scala/de/htwg/zeta/persistence/general,361,111,177,30,0,5
persistence/src/main/scala/de/htwg/zeta/persistence/mongo,766,528,110,30,31,7
persistence/src/main/scala/de/htwg/zeta/persistence/transient,494,295,121,24,21,5
server/app/controllers,233,115,26,89,1,1
server/app/de/htwg/zeta/server/actor,55,37,3,5,3,1
server/app/de/htwg/zeta/server/controller,900,631,147,32,14,12
server/app/de/htwg/zeta/server/controller/codeEditor,49,38,0,4,1,1
server/app/de/htwg/zeta/server/controller/generatorControlForwader,217,140,27,15,10,5
server/app/de/htwg/zeta/server/controller/restApi,1289,897,225,87,11,11
server/app/de/htwg/zeta/server/controller/webpage,83,67,1,5,1,1
server/app/de/htwg/zeta/server/forms,126,59,45,0,7,5
server/app/de/htwg/zeta/server/generator/generators/diagram,604,336,32,44,4,4
server/app/de/htwg/zeta/server/generator/generators/shape,1874,970,53,142,5,5
server/app/de/htwg/zeta/server/generator/generators/style,272,149,25,19,1,1
server/app/de/htwg/zeta/server/generator/model,127,83,18,17,3,2
server/app/de/htwg/zeta/server/generator/model/diagram,38,28,4,1,2,1
server/app/de/htwg/zeta/server/generator/model/diagram/action,53,32,8,6,6,4
server/app/de/htwg/zeta/server/generator/model/diagram/edge,62,46,9,0,2,2
server/app/de/htwg/zeta/server/generator/model/diagram/methodes,58,28,15,0,4,5
server/app/de/htwg/zeta/server/generator/model/diagram/node,125,89,15,6,2,2
server/app/de/htwg/zeta/server/generator/model/diagram/traits,18,8,6,0,0,2
server/app/de/htwg/zeta/server/generator/model/shapecontainer,8,3,2,0,0,1
server/app/de/htwg/zeta/server/generator/model/shapecontainer/connection,127,88,18,6,7,2
server/app/de/htwg/zeta/server/generator/model/shapecontainer/connection/shapeconnections,131,74,27,0,8,8
server/app/de/htwg/zeta/server/generator/model/shapecontainer/shape,426,299,84,27,9,2
server/app/de/htwg/zeta/server/generator/model/shapecontainer/shape/anchor,57,40,4,7,8,1
server/app/de/htwg/zeta/server/generator/model/shapecontainer/shape/geometrics,527,351,105,25,31,12
server/app/de/htwg/zeta/server/generator/model/shapecontainer/shape/geometrics/layouts,363,236,56,13,11,7
server/app/de/htwg/zeta/server/generator/model/style,340,251,47,30,9,4
server/app/de/htwg/zeta/server/generator/model/style/color,87,68,3,27,24,5
server/app/de/htwg/zeta/server/generator/model/style/gradient,44,31,3,3,7,3
server/app/de/htwg/zeta/server/generator/parser,727,553,62,111,11,4
server/app/de/htwg/zeta/server/model,30,13,7,0,4,2
server/app/de/htwg/zeta/server/model/metaModel,73,47,4,4,6,3
server/app/de/htwg/zeta/server/model/modelValidator,127,67,33,9,1,1
server/app/de/htwg/zeta/server/model/modelValidator/generator,95,63,1,7,5,3
server/app/de/htwg/zeta/server/model/modelValidator/generator/consistencyRules,126,80,1,8,5,6
server/app/de/htwg/zeta/server/model/modelValidator/validator,124,63,46,3,2,2
server/app/de/htwg/zeta/server/model/modelValidator/validator/rules,189,52,101,10,0,7
server/app/de/htwg/zeta/server/model/modelValidator/validator/rules/metaModelDependent,957,675,71,81,41,21
server/app/de/htwg/zeta/server/model/modelValidator/validator/rules/metaModelIndependent,79,38,24,3,4,4
server/app/de/htwg/zeta/server/model/modelValidator/validator/rules/nullChecks,376,212,99,20,21,20
server/app/de/htwg/zeta/server/model/modelValidator/validator/rules/validatorDsl,297,127,69,32,19,19
server/app/de/htwg/zeta/server/model/result,105,70,2,20,5,1
server/app/de/htwg/zeta/server/module,144,127,0,11,1,1
server/app/de/htwg/zeta/server/routing,175,140,6,0,13,3
server/app/de/htwg/zeta/server/routing/authentication,787,488,44,110,57,11
server/app/de/htwg/zeta/server/silhouette,442,236,147,26,6,7
server/app/de/htwg/zeta/server/start,463,329,43,29,9,3
server/app/de/htwg/zeta/server/util,63,32,14,2,2,2
server/app/de/htwg/zeta/server/util/route,25,13,6,2,2,1
server/app/experimental,233,153,1,17,2,1
