Directory,Lines,SLOC,CLOC,Funcs,Classes,Files
backend/src/main/scala,202,142,20,11,6,1
backend/src/main/scala/actors/common,179,114,37,9,10,2
backend/src/main/scala/actors/developer,550,427,50,42,18,4
backend/src/main/scala/actors/developer/manager,412,334,15,33,20,9
backend/src/main/scala/actors/frontend,169,122,12,16,12,4
backend/src/main/scala/actors/image,28,21,0,2,2,1
backend/src/main/scala/actors/master,344,246,52,18,16,2
backend/src/main/scala/actors/worker,389,306,19,20,21,4
client/src/main/scala,25,18,0,2,1,1
client/src/main/scala/controller,513,425,39,18,8,7
client/src/main/scala/facade,758,689,7,488,39,4
client/src/main/scala/view,167,140,6,6,2,2
common/src/main/scala/cluster,82,55,3,7,2,2
common/src/main/scala/models,58,29,22,3,2,1
common/src/main/scala/models/document,290,196,44,23,41,4
common/src/main/scala/models/document/cached,109,55,41,7,2,1
common/src/main/scala/models/document/http,232,164,39,10,5,1
common/src/main/scala/models/file,69,21,35,5,2,3
common/src/main/scala/models/file/http,101,50,36,7,2,1
common/src/main/scala/models/frontend,205,108,66,2,39,4
common/src/main/scala/models/modelDefinitions/helper,21,11,7,4,2,1
common/src/main/scala/models/modelDefinitions/metaModel,281,165,80,12,14,3
common/src/main/scala/models/modelDefinitions/metaModel/elements,742,523,118,56,22,3
common/src/main/scala/models/modelDefinitions/model,222,133,60,9,6,2
common/src/main/scala/models/modelDefinitions/model/elements,482,345,57,42,9,3
common/src/main/scala/models/remote,144,97,26,9,2,2
common/src/main/scala/models/session,169,94,42,13,7,4
common/src/main/scala/models/worker,179,107,25,18,10,1
images/filter/scala/src/main/scala,119,94,0,4,2,1
images/filter/scala/src/main/scala/filter,7,5,0,1,0,1
images/generator/basic/src/main/scala,99,34,27,6,3,2
images/generator/file/src/main/scala,138,62,27,9,4,2
images/generator/remote/src/main/scala,154,89,34,11,8,2
images/generator/specific/src/main/scala,159,59,36,12,3,2
images/generator/template/src/main/scala,274,192,57,12,3,2
images/generator/template/src/main/scala/generator,28,18,3,4,3,1
images/metamodel/release/src/main/scala,66,52,0,1,2,1
server/app,40,25,8,2,2,1
server/app/controllers,982,668,198,33,14,14
server/app/controllers/restApi,457,368,37,32,2,2
server/app/controllers/webpage,91,73,1,5,1,1
server/app/forms,128,61,45,0,7,5
server/app/generator/generators/diagram,526,280,25,38,4,4
server/app/generator/generators/shape,1496,879,34,134,5,5
server/app/generator/generators/style,226,110,17,17,1,1
server/app/generator/generators/vr/diagram,606,125,16,19,5,5
server/app/generator/generators/vr/shape,331,157,15,20,3,3
server/app/generator/model,94,69,15,17,3,1
server/app/generator/model/diagram,28,20,4,1,2,1
server/app/generator/model/diagram/action,51,30,8,6,6,4
server/app/generator/model/diagram/edge,53,38,9,0,2,2
server/app/generator/model/diagram/methodes,59,30,15,0,4,5
server/app/generator/model/diagram/node,69,48,11,1,2,2
server/app/generator/model/diagram/traits,18,8,6,0,0,2
server/app/generator/model/shapecontainer,9,4,3,0,0,1
server/app/generator/model/shapecontainer/connection,112,78,17,6,7,2
server/app/generator/model/shapecontainer/connection/shapeconnections,124,73,27,0,8,8
server/app/generator/model/shapecontainer/shape,314,246,54,17,9,2
server/app/generator/model/shapecontainer/shape/anchor,52,36,4,7,8,1
server/app/generator/model/shapecontainer/shape/geometrics,409,274,75,25,31,12
server/app/generator/model/shapecontainer/shape/geometrics/layouts,259,195,32,10,5,7
server/app/generator/model/style,246,171,44,28,10,4
server/app/generator/model/style/color,87,68,3,27,24,5
server/app/generator/model/style/gradient,43,31,3,3,7,3
server/app/generator/parser,552,450,50,110,10,4
server/app/jobs,77,49,15,1,4,2
server/app/models,29,11,12,1,2,2
server/app/models/authenticators,480,264,184,13,6,1
server/app/models/codeEditor,197,146,15,13,7,2
server/app/models/daos,471,209,178,27,6,6
server/app/models/metaModel,34,22,4,2,2,1
server/app/models/model,141,101,18,8,9,2
server/app/models/services,214,82,101,13,2,4
server/app/modules,513,255,201,27,3,3
server/app/util,285,10,272,2,2,1
server/app/util/datavis/domain,58,43,0,10,18,3
server/app/util/datavis/generator,68,42,0,9,1,1
server/app/util/datavis/parser,48,34,1,18,0,1
server/app/util/datavis/validator,113,88,0,18,2,2
server/app/util/domain,115,89,1,10,15,7
server/app/util/graph,170,142,0,17,1,1
server/app/utils,29,13,9,1,1,2
server/app/utils/auth,146,62,56,8,4,5
server/app/utils/route,25,13,6,2,2,1
shared/src/main/scala/shared,33,22,0,0,13,2
