File,Lines,SLOC,CLOC,Funcs,Classes,object,case object,class,case class,abstract class,trait,extends,with
backend/src/main/scala/actors/common/ChangeFeed.scala,147,91,37,7,8,2,0,6,5,0,1,4,1
backend/src/main/scala/actors/common/ClusterListener.scala,32,23,0,2,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/DeveloperManager.scala,34,24,5,3,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/BondedTasksManager.scala,72,57,4,5,3,1,0,2,1,0,0,1,1
backend/src/main/scala/actors/developer/manager/EventDrivenTasksManager.scala,52,41,0,5,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/FiltersManager.scala,28,24,1,3,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/GeneratorConnectionManager.scala,53,44,5,2,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/GeneratorManager.scala,28,24,0,3,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/GeneratorRequestManager.scala,43,35,1,3,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/ManualExecutionManager.scala,53,41,2,4,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/ModelReleaseManager.scala,16,13,0,2,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/developer/manager/TimedTasksManager.scala,67,55,2,6,3,1,0,2,1,0,0,1,1
backend/src/main/scala/actors/developer/Mediator.scala,207,166,15,13,3,2,1,1,0,0,0,1,1
backend/src/main/scala/actors/developer/WorkQueue.scala,191,149,17,12,6,4,3,2,1,0,0,1,1
backend/src/main/scala/actors/developer/WorkState.scala,118,88,13,14,7,1,0,6,6,0,1,5,0
backend/src/main/scala/actors/frontend/DeveloperDummy.scala,46,33,3,4,3,2,1,1,0,0,0,1,1
backend/src/main/scala/actors/frontend/DeveloperFrontend.scala,40,29,3,4,3,2,1,1,0,0,0,1,1
backend/src/main/scala/actors/frontend/GeneratorFrontend.scala,40,29,3,4,3,2,1,1,0,0,0,1,1
backend/src/main/scala/actors/frontend/UserFrontend.scala,43,31,3,4,3,2,1,1,0,0,0,1,1
backend/src/main/scala/actors/image/ImageManager.scala,28,21,0,2,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/master/Master.scala,258,177,51,9,7,4,3,3,2,0,1,3,1
backend/src/main/scala/actors/master/WorkState.scala,86,69,1,9,9,1,0,8,8,0,1,6,0
backend/src/main/scala/actors/worker/DockerWorkExecutor.scala,222,176,14,9,2,1,0,1,0,0,0,1,1
backend/src/main/scala/actors/worker/DummyWorkExecutor.scala,17,14,0,2,2,1,0,1,0,0,0,1,1
